date,vemquartile,outcome,value,type
2021-05-31,2,deaths,-1.9663230784761196,counterfactual
2021-05-31,3,cases,-65.07160330757495,counterfactual
2021-05-31,3,hosps,4.836963924520916,counterfactual
2021-05-31,3,deaths,-0.5409736318494611,counterfactual
2021-05-31,4,cases,-118.65343192764423,counterfactual
2021-05-31,4,hosps,-5.678141501259674,counterfactual
2021-05-31,4,deaths,-1.596745307686641,counterfactual
2021-06-07,1,cases,994.5465740371017,counterfactual
2021-06-07,1,hosps,99.10952289990789,counterfactual
2021-06-07,1,deaths,8.027578907761665,counterfactual
2021-06-07,2,cases,135.33615276785025,counterfactual
2021-06-07,2,hosps,26.628863855130994,counterfactual
2021-06-07,2,deaths,4.6966436013765005,counterfactual
2021-06-07,3,cases,-80.82689214952806,counterfactual
2021-06-07,3,hosps,-2.118154883958314,counterfactual
2021-06-07,3,deaths,-5.690186530491465,counterfactual
2021-06-07,4,cases,-185.5956845958458,counterfactual
2021-06-07,4,hosps,-3.6188758800260565,counterfactual
2021-06-07,4,deaths,-4.621118639502996,counterfactual
2021-06-14,1,cases,1237.9073432305813,counterfactual
2021-06-14,1,hosps,101.37666828154272,counterfactual
2021-06-14,1,deaths,1.1493183241412042,counterfactual
2021-06-14,2,cases,279.3040850150134,counterfactual
2021-06-14,2,hosps,11.725149079443785,counterfactual
2021-06-14,2,deaths,-3.979568323117496,counterfactual
2021-06-14,3,cases,-175.47105282741347,counterfactual
2021-06-14,3,hosps,-4.686935352260954,counterfactual
2021-06-14,3,deaths,-1.8996716367805562,counterfactual
2021-06-14,4,cases,-175.72061353112792,counterfactual
2021-06-14,4,hosps,-22.032824530172185,counterfactual
2021-06-14,4,deaths,-0.15980308346851105,counterfactual
2021-06-21,1,cases,1739.2480696375192,counterfactual
2021-06-21,1,hosps,146.2718298728372,counterfactual
2021-06-21,1,deaths,5.983953166906976,counterfactual
2021-06-21,2,cases,472.18862150059226,counterfactual
2021-06-21,2,hosps,30.933894760411967,counterfactual
2021-06-21,2,deaths,7.528388962627476,counterfactual
2021-06-21,3,cases,-111.35755485664728,counterfactual
2021-06-21,3,hosps,-5.999589406946992,counterfactual
2021-06-21,3,deaths,1.9911456404090346,counterfactual
2021-06-21,4,cases,-255.10805192943468,counterfactual
2021-06-21,4,hosps,-17.818837049169552,counterfactual
2021-06-21,4,deaths,-2.7268176503535178,counterfactual
2021-06-28,1,cases,2800.4901485712357,counterfactual
2021-06-28,1,hosps,186.99238802576212,counterfactual
2021-06-28,1,deaths,0.21601464907352566,counterfactual
2021-06-28,2,cases,921.0362672654472,counterfactual
2021-06-28,2,hosps,67.41045720323504,counterfactual
2021-06-28,2,deaths,-3.5511821548770444,counterfactual
